Title,Price,Area,Rooms,Address,Owner Type,Owner Name,URL,Class
იყიდება 2 ოთახიანი ბინა საბურთალოზე,95000 $,48 m²,2.0,შარტავას ქ. 4,physical,თიკა,https://www.myhome.ge/pr/20650347/iyideba-2-otaxiani-bina-saburtaloze/,SUPER_VIP
იყიდება 3 ოთახიანი ბინა ნუცუბიძის ფერდობზე,95000 $,62.2 m²,3.0,ჟღენტი ბესოს ქუჩა 6,physical,თორნიკე,https://www.myhome.ge/pr/20272661/iyideba-3-otaxiani-bina-nutsubidzis-ferdobze/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა ვარკეთილში,48000 $,44.27 m²,2.0,ჯავახეთის ქ. 5,physical,NNN,https://www.myhome.ge/pr/20566029/iyideba-2-otaxiani-bina-varketilshi/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა ორთაჭალაში,74000 $,55.4 m²,2.0,სულიკო თორთლაძის ქ.,physical,ლ,https://www.myhome.ge/pr/20591537/iyideba-2-otaxiani-bina-ortachalashi/,SUPER_VIP
იყიდება 3 ოთახიანი ბინა ნუცუბიძის ფერდობზე,125000 $,84 m²,3.0,ხომლის ქ. ,agent,გიორგი,https://www.myhome.ge/pr/20656042/iyideba-3-otaxiani-bina-nutsubidzis-ferdobze/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა დიდ დიღომში,66500 $,53 m²,2.0,მირიან მეფის ქ. 101,agent,N N,https://www.myhome.ge/pr/19356332/iyideba-2-otaxiani-bina-did-dighomshi/,SUPER_VIP
იყიდება 4 ოთახიანი ბინა დიღმის მასივში,140000 $,111.5 m²,4.0,ნ. ბოხუას ქ. ,agent,თამარ,https://www.myhome.ge/pr/19812299/iyideba-4-otaxiani-bina-dighmis-masivshi/,SUPER_VIP
იყიდება 3 ოთახიანი ბინა დიღმის მასივში,106700 $,97 m²,3.0,ნ. ბოხუას ქ. ,agent,თამარა,https://www.myhome.ge/pr/20140805/iyideba-3-otaxiani-bina-dighmis-masivshi/,SUPER_VIP
იყიდება 3 ოთახიანი ბინა დიდ დიღომში,100000 $,77 m²,3.0,მირიან მეფის ქ. 80,agent,თამარ,https://www.myhome.ge/pr/20294409/iyideba-3-otaxiani-bina-did-dighomshi/,SUPER_VIP
იყიდება 4 ოთახიანი ბინა საბურთალოზე,252000 $,112 m²,4.0,გამრეკელი ირაკლის ქ. 19,physical,ხ,https://www.myhome.ge/pr/19937326/iyideba-4-otaxiani-bina-saburtaloze/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა ისანში,160000 $,71.1 m²,2.0,რ. ჰოლბრუკის ქ. 9,physical,dato,https://www.myhome.ge/pr/18355266/iyideba-2-otaxiani-bina-isanshi/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა ლისზე,122000 $,75 m²,2.0,ამბერკ ტაბიძის ქუჩა 41,physical,თამუნა,https://www.myhome.ge/pr/20499911/iyideba-2-otaxiani-bina-lisze/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა საბურთალოზე,123000 $,64 m²,2.0,უნივერსიტეტის ქ. 0,physical,მარი,https://www.myhome.ge/pr/20656587/iyideba-2-otaxiani-bina-saburtaloze/,SUPER_VIP
იყიდება 5 ოთახიანი ბინა ვარკეთილში,90000 $,110 m²,5.0,სუხიშვილის ქუჩა ,physical,მარიამ,https://www.myhome.ge/pr/20356706/iyideba-5-otaxiani-bina-varketilshi/,SUPER_VIP
იყიდება 4 ოთახიანი ბინა დიდუბეში,142450 $,129.5 m²,4.0,მირცხულავას ქუჩა 11ა,physical,ვასილი,https://www.myhome.ge/pr/20632875/iyideba-4-otaxiani-bina-didubeshi/,SUPER_VIP
იყიდება 3 ოთახიანი ბინა ლისზე,139500 $,90 m²,3.0,ცაცხვების ქუჩა 4,physical,ზურა,https://www.myhome.ge/pr/20171811/iyideba-3-otaxiani-bina-lisze/,SUPER_VIP
იყიდება 3 ოთახიანი ბინა ლისზე,340981 $,148.9 m²,3.0,ლისი ვერანდა ,physical,დუდა,https://www.myhome.ge/pr/20546325/iyideba-3-otaxiani-bina-lisze/,SUPER_VIP
